1037,,Foux,0.76,0.73,0.51,0.71,0.12
1038,6473,bitchiR,1.05,1.11,0.72,0.65,0.14
1040,,prb,0.91,0.92,0.62,0.67,0.14
1044,,emilio,1.06,1.08,0.72,0.67,0.15
1045,,Maikelele,1.02,1.07,0.68,0.63,0.14
1046,,dboorN,0.79,0.77,0.58,0.76,0.13
1047,5250,SFM,0.9,0.88,0.64,0.73,0.17
1052,7149,st1cker,1.08,1.12,0.72,0.65,0.15
1055,6681,havoK,1.16,1.16,0.84,0.72,0.15
1064,4501,crisby,0.96,0.96,0.67,0.7,0.14
1067,4553,NeOn,0.61,0.53,0.38,0.72,0.06
1083,7283,AERO,0.93,0.91,0.66,0.72,0.13
1084,7252,Fierce,0.79,0.76,0.46,0.6,0.11
1085,7252,Fly,0.92,0.91,0.68,0.74,0.14
1088,7283,liTTle,1.14,1.2,0.78,0.66,0.11
1095,,Foking,0.88,0.84,0.64,0.76,0.17
1104,,rAx,0.8,0.76,0.54,0.72,0.13
1129,6455,aMi,0.56,0.51,0.42,0.84,0.25
1135,,pop,0.86,0.89,0.58,0.65,0.14
1136,,Apollo,1.12,1.09,0.83,0.76,0.16
1139,4766,luosrevo,0.86,0.85,0.59,0.69,0.15
1140,,ferrid,0.87,0.84,0.61,0.73,0.15
1146,4991,dennis,1.07,1.1,0.74,0.67,0.13
1147,6728,huggan,0.9,0.86,0.61,0.71,0.16
1150,,osqari,1.17,1.18,0.9,0.76,0.21
1154,6668,roman,0.9,0.91,0.62,0.69,0.16
1159,4800,tixoNsville,0.91,0.91,0.64,0.7,0.13
1186,4516,zaK,0.83,0.83,0.62,0.75,0.0
1187,4516,ARCH1EB,0.94,1.0,0.68,0.68,0.0
1197,,N1GHTMARE,0.8,0.77,0.57,0.74,0.18
1199,,dreadon,0.73,0.68,0.55,0.81,0.09
1200,4908,hitMouse,0.93,0.94,0.64,0.68,0.14
1204,,g0g1,0.94,0.93,0.64,0.69,0.14
1206,7187,BTN,1.01,1.0,0.73,0.73,0.17
1214,,termi,0.96,0.95,0.67,0.7,0.17
1215,,cla,1.17,1.19,0.8,0.67,0.14
1225,5995,shox,1.13,1.18,0.78,0.66,0.13
1248,,marqnue,1.01,1.0,0.69,0.68,0.15
1261,,GekoNs,0.72,0.65,0.52,0.8,0.07
1263,2471,niuk,0.54,0.49,0.38,0.77,0.1
1267,,Dev1,0.92,0.84,0.67,0.8,0.09
1269,,Laquila,0.79,0.72,0.51,0.7,0.14
1273,,STRYKER,0.94,0.94,0.63,0.67,0.13
1275,7188,AFFICHKO,1.0,0.99,0.72,0.73,0.18
1276,4690,minko,0.99,1.0,0.69,0.69,0.14
1278,4690,pNshr,0.97,0.99,0.65,0.66,0.17
1287,1548,slaYn,0.9,0.87,0.63,0.72,0.16
1290,,bARA,0.83,0.81,0.6,0.74,0.13
1297,6347,kap1tw,0.88,0.83,0.59,0.71,0.09
1306,,VofkiN,0.68,0.63,0.52,0.83,0.17
1312,4731,egzekut0r,0.9,0.9,0.64,0.71,0.14
1320,4516,onscreen,1.06,1.11,0.73,0.66,0.05
1322,,spk,1.32,1.29,0.96,0.75,0.0
1327,6586,zboub,1.07,1.14,0.66,0.58,0.11
